         1736198 function calls (1735122 primitive calls) in 8.145 seconds

   Ordered by: cumulative time
   List reduced from 643 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.009    0.009    8.145    8.145 /home/toruseo/UXsim-dev-cpp/devlog/profile_dso_cpp.py:66(main)
        1    0.748    0.748    8.135    8.135 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:767(solve)
        1    2.353    2.353    2.353    2.353 /home/toruseo/UXsim-dev-cpp/uxsim/Utilities/Utilities.py:165(enumerate_k_random_routes)
       20    2.348    0.117    2.348    0.117 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:47(_convert_od_routes_to_ids)
       20    0.384    0.019    1.813    0.091 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1000(exec_simulation)
       21    0.003    0.000    0.763    0.036 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:958(finalize_scenario)
       21    0.012    0.001    0.761    0.036 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:975(_setup_analyzer)
       20    0.001    0.000    0.731    0.037 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1180(simulation_terminated)
       21    0.000    0.000    0.507    0.024 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:43(__init__)
       21    0.001    0.000    0.407    0.019 /home/toruseo/UXsim-dev-cpp/uxsim/utils.py:92(get_font_for_matplotlib)
       21    0.004    0.000    0.398    0.019 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:275(findSystemFonts)
       21    0.001    0.000    0.395    0.019 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:26(wrapper)
       21    0.000    0.000    0.394    0.019 /home/toruseo/UXsim-dev-cpp/devlog/profile_dso_cpp.py:67(<lambda>)
       21    0.021    0.001    0.394    0.019 /home/toruseo/UXsim-dev-cpp/devlog/profile_dso_cpp.py:9(_create_due_world)
       20    0.264    0.013    0.357    0.018 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1123(_build_all_vehicle_log_caches)
      147    0.032    0.000    0.306    0.002 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:188(list_fonts)
       20    0.001    0.000    0.288    0.014 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:98(basic_analysis)
      756    0.005    0.000    0.270    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/scenario_reader_writer.py:15(wrapper)
       20    0.011    0.001    0.255    0.013 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:2020(link_to_pandas)
     6048    0.132    0.000    0.242    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:210(init_after_tmax_fix)
       20    0.005    0.000    0.234    0.012 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:1682(od_to_pandas)
       20    0.035    0.002    0.220    0.011 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:183(link_analysis_coarse)
       20    0.065    0.003    0.207    0.010 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:121(od_analysis)
      756    0.084    0.000    0.190    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:884(adddemand)
    30765    0.026    0.000    0.161    0.000 /usr/lib/python3.13/pathlib/_abc.py:167(suffix)
    30765    0.008    0.000    0.128    0.000 /usr/lib/python3.13/pathlib/_local.py:346(name)
    31251    0.028    0.000    0.119    0.000 /usr/lib/python3.13/pathlib/_local.py:307(_tail)
       20    0.119    0.006    0.119    0.006 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:73(_convert_cpp_result_to_names)
       25    0.109    0.004    0.109    0.004 {method 'read' of '_io.BufferedReader' objects}
      756    0.091    0.000    0.104    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1027(_register_new_cpp_vehicles)
     4816    0.012    0.000    0.101    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/_methods.py:217(_std)
       21    0.002    0.000    0.099    0.005 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:22(load_font_data)
     4816    0.050    0.000    0.087    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/_methods.py:148(_var)
     6048    0.010    0.000    0.086    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:817(addLink)
       20    0.086    0.004    0.086    0.004 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1187(_build_vehicles_enter_log)
    20507    0.036    0.000    0.078    0.000 /usr/lib/python3.13/pathlib/_local.py:257(_parse_path)
     6048    0.068    0.000    0.075    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:116(__init__)
     6228    0.073    0.000    0.073    0.000 {built-in method numpy.array}
     3376    0.001    0.000    0.072    0.000 {method 'std' of 'numpy.ndarray' objects}
    27940    0.040    0.000    0.061    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/numeric.py:323(full)


