         1726087 function calls (1725011 primitive calls) in 5.443 seconds

   Ordered by: cumulative time
   List reduced from 641 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.540    0.540    5.443    5.443 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:375(solve)
       20    0.450    0.023    2.132    0.107 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1000(exec_simulation)
        1    1.636    1.636    1.636    1.636 /home/toruseo/UXsim-dev-cpp/uxsim/Utilities/Utilities.py:165(enumerate_k_random_routes)
       21    0.003    0.000    0.943    0.045 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:958(finalize_scenario)
       21    0.012    0.001    0.940    0.045 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:975(_setup_analyzer)
       20    0.001    0.000    0.793    0.040 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1180(simulation_terminated)
       21    0.000    0.000    0.702    0.033 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:26(wrapper)
       21    0.000    0.000    0.701    0.033 <string>:11(<lambda>)
       21    0.020    0.001    0.701    0.033 /home/toruseo/UXsim-dev-cpp/devlog/benchtestdta.py:115(_create_due_world)
       21    0.001    0.000    0.630    0.030 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:43(__init__)
      756    0.008    0.000    0.555    0.001 /home/toruseo/UXsim-dev-cpp/uxsim/scenario_reader_writer.py:15(wrapper)
       21    0.000    0.000    0.484    0.023 /home/toruseo/UXsim-dev-cpp/uxsim/utils.py:92(get_font_for_matplotlib)
       21    0.002    0.000    0.475    0.023 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:275(findSystemFonts)
      756    0.157    0.000    0.464    0.001 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:884(adddemand)
       20    0.359    0.018    0.450    0.023 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1123(_build_all_vehicle_log_caches)
      147    0.041    0.000    0.366    0.002 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:188(list_fonts)
      756    0.292    0.000    0.305    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1027(_register_new_cpp_vehicles)
     6048    0.154    0.000    0.298    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:210(init_after_tmax_fix)
       20    0.001    0.000    0.244    0.012 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:98(basic_analysis)
       20    0.001    0.000    0.203    0.010 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:1682(od_to_pandas)
       20    0.008    0.000    0.198    0.010 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:2020(link_to_pandas)
    30765    0.029    0.000    0.183    0.000 /usr/lib/python3.13/pathlib/_abc.py:167(suffix)
       20    0.054    0.003    0.177    0.009 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:121(od_analysis)
       25    0.160    0.006    0.160    0.006 {method 'read' of '_io.BufferedReader' objects}
       20    0.026    0.001    0.158    0.008 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:183(link_analysis_coarse)
       21    0.000    0.000    0.145    0.007 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:22(load_font_data)
    30765    0.009    0.000    0.143    0.000 /usr/lib/python3.13/pathlib/_local.py:346(name)
    31251    0.037    0.000    0.133    0.000 /usr/lib/python3.13/pathlib/_local.py:307(_tail)
     6048    0.009    0.000    0.105    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:817(addLink)
       20    0.100    0.005    0.100    0.005 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:73(_convert_cpp_result_to_names)
       20    0.098    0.005    0.098    0.005 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1187(_build_vehicles_enter_log)
     6048    0.088    0.000    0.096    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:116(__init__)
     6228    0.086    0.000    0.086    0.000 {built-in method numpy.array}
    20507    0.033    0.000    0.082    0.000 /usr/lib/python3.13/pathlib/_local.py:257(_parse_path)
     4213    0.008    0.000    0.079    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/_methods.py:217(_std)
     4213    0.045    0.000    0.069    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/_methods.py:148(_var)
      588    0.017    0.000    0.063    0.000 <frozen os>:289(walk)
    20528    0.019    0.000    0.063    0.000 /usr/lib/python3.13/pathlib/_local.py:500(__init__)
    43981    0.061    0.000    0.061    0.000 {built-in method numpy.zeros}
    27940    0.042    0.000    0.060    0.000 /home/toruseo/.local/lib/python3.13/site-packages/numpy/_core/numeric.py:323(full)


