         699743 function calls (698952 primitive calls) in 2.703 seconds

   Ordered by: cumulative time
   List reduced from 658 to 40 due to restriction <40>

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.469    0.469    2.703    2.703 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:448(solve)
        1    1.113    1.113    1.113    1.113 /home/toruseo/UXsim-dev-cpp/uxsim/Utilities/Utilities.py:165(enumerate_k_random_routes)
       20    0.282    0.014    0.422    0.021 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1002(exec_simulation)
       21    0.000    0.000    0.302    0.014 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:26(wrapper)
       21    0.000    0.000    0.301    0.014 <string>:11(<lambda>)
       21    0.009    0.000    0.301    0.014 /home/toruseo/UXsim-dev-cpp/devlog/benchtestdta.py:115(_create_due_world)
     6048    0.101    0.000    0.202    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:210(init_after_tmax_fix)
       20    0.007    0.000    0.200    0.010 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:39(_lightweight_finalize)
      756    0.005    0.000    0.193    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/scenario_reader_writer.py:15(wrapper)
       20    0.000    0.000    0.130    0.006 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1182(simulation_terminated)
      756    0.080    0.000    0.129    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:886(adddemand)
       20    0.001    0.000    0.119    0.006 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:98(basic_analysis)
        1    0.000    0.000    0.118    0.118 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:960(finalize_scenario)
        1    0.002    0.002    0.118    0.118 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:977(_setup_analyzer)
        2    0.000    0.000    0.106    0.053 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:43(__init__)
       20    0.001    0.000    0.100    0.005 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:1682(od_to_pandas)
        2    0.000    0.000    0.096    0.048 /home/toruseo/UXsim-dev-cpp/uxsim/utils.py:94(get_font_for_matplotlib)
        1    0.000    0.000    0.095    0.095 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:275(findSystemFonts)
       20    0.029    0.001    0.087    0.004 /home/toruseo/UXsim-dev-cpp/uxsim/analyzer.py:121(od_analysis)
     6048    0.007    0.000    0.071    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:819(addLink)
     6048    0.057    0.000    0.063    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:116(__init__)
     6209    0.053    0.000    0.053    0.000 {built-in method numpy.array}
    30985    0.049    0.000    0.049    0.000 {built-in method numpy.zeros}
        1    0.000    0.000    0.049    0.049 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:250(_get_fontconfig_fonts)
      756    0.039    0.000    0.047    0.000 /home/toruseo/UXsim-dev-cpp/uxsim/uxsim_cpp_wrapper.py:1029(_register_new_cpp_vehicles)
        2    0.000    0.000    0.044    0.022 /usr/lib/python3.13/subprocess.py:423(check_output)
        2    0.000    0.000    0.044    0.022 /usr/lib/python3.13/subprocess.py:512(run)
        7    0.042    0.006    0.042    0.006 {method 'read' of '_io.BufferedReader' objects}
       20    0.039    0.002    0.039    0.002 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:146(_convert_cpp_result_to_names)
      756    0.001    0.000    0.036    0.000 /usr/lib/python3.13/inspect.py:3373(signature)
      756    0.000    0.000    0.035    0.000 /usr/lib/python3.13/inspect.py:3094(from_callable)
      756    0.004    0.000    0.035    0.000 /usr/lib/python3.13/inspect.py:2487(_signature_from_callable)
        2    0.000    0.000    0.032    0.016 /usr/lib/python3.13/subprocess.py:1178(communicate)
        7    0.004    0.001    0.031    0.004 /home/toruseo/.local/lib/python3.13/site-packages/matplotlib/font_manager.py:188(list_fonts)
        1    0.029    0.029    0.029    0.029 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:120(_convert_od_routes_to_ids)
      756    0.008    0.000    0.029    0.000 /usr/lib/python3.13/inspect.py:2383(_signature_from_function)
     1465    0.004    0.000    0.028    0.000 /usr/lib/python3.13/pathlib/_abc.py:167(suffix)
     1465    0.001    0.000    0.023    0.000 /usr/lib/python3.13/pathlib/_local.py:346(name)
     1913    0.002    0.000    0.023    0.000 /usr/lib/python3.13/pathlib/_local.py:307(_tail)
       21    0.000    0.000    0.020    0.001 /home/toruseo/UXsim-dev-cpp/uxsim/DTAsolvers/DTAsolvers.py:29(_cpp_new)


